Proposal #,Total Sponsor Costs,Total Direct Costs,Total Indirect Costs,Total Project Cost
24-0649-P0001,,,,
24-0649-P0001,,,,
24-0649-P0001,,,,
24-0649-P0001,,,,
24-0649-P0001,,,,
24-0877-P0001,2342.66,2342.66,0,
24-0877-P0001,,,,
24-0877-P0001,,,,
24-0877-P0001,,,,
24-0877-P0001,,,,
24-0877-P0001,,,,
24-0877-P0001,,,,
24-0877-P0001,,,,
24-0877-P0001,,,,
23-0391-P0001,,,,
23-0391-P0001,,,,
24-0838-P0001,,,,
24-0838-P0001,,,,
24-0838-P0001,,,,
24-0838-P0001,,,,
24-0838-P0001,,,,
24-0838-P0001,,,,
24-0838-P0001,,,,
23-0777-P0001,,,,
23-0777-P0001,,,,
23-1057-P0001,,,,
23-1057-P0001,,,,
23-0220-P0001,,,,
23-0220-P0001,,,,
23-1022-P0001,,,,
23-1022-P0001,,,,
23-0825-P0001,,,,
23-0825-P0001,,,,
25-0043-P0001,408521,298503,110018,408521
25-0043-P0001,,,,
25-0043-P0001,,,,
25-0043-P0001,,,,
25-0043-P0001,,,,
25-0043-P0001,,,,
25-0043-P0001,,,,
24-0832-P0001,29939,22314,7625,29939
24-0832-P0001,,,,
24-0832-P0001,,,,
24-0832-P0001,,,,
24-0832-P0001,,,,
24-0832-P0001,,,,
24-0832-P0001,,,,
23-1063-P0001,,,,
23-1063-P0001,,,,
23-1940-P0001,,,,
23-1940-P0001,,,,
24-1045-P0001,632157,459651,172506,632157
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-1045-P0001,,,,
24-0126-P0001,426182,401496,24686,426182
24-0126-P0001,,,,
24-0126-P0001,,,,
24-0126-P0001,,,,
24-0126-P0001,,,,
24-0126-P0001,,,,
24-0126-P0001,,,,
24-0126-P0001,,,,
24-0126-P0001,,,,
23-1045-P0001,,,,
23-1045-P0001,,,,
24-0400-P0001,40141,34162.6,5978.4,40141
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0400-P0001,,,,
24-0750-P0001,75979.01,66283.41,9695.6,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0750-P0001,,,,
24-0549-P0001,87133,60300,26833,87133
24-0549-P0001,,,,
24-0549-P0001,,,,
24-0549-P0001,,,,
24-0549-P0001,,,,
24-0549-P0001,,,,
24-0549-P0001,,,,
24-0549-P0001,,,,
23-1923-P0001,10000,10000,0,10000
23-1923-P0001,,,,
23-1923-P0001,,,,
23-1923-P0001,,,,
23-1923-P0001,,,,
23-1822-P0001,,,,
23-1822-P0001,,,,
23-1822-P0001,,,,
23-1822-P0001,,,,
23-1818-P0001,125169,89925,35244,125169
23-1818-P0001,,,,
23-1818-P0001,,,,
23-1818-P0001,,,,
23-1818-P0001,,,,
23-1818-P0001,,,,
23-1418-P0001,,,,
23-1418-P0001,,,,
23-1487-P0001,,,,
23-1487-P0001,,,,
23-0456-P0003,910000,910000,0,1510000
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-0456-P0003,,,,
23-1745-P0001,75000,75000,0,75000
23-1745-P0001,,,,
23-1745-P0001,,,,
23-1745-P0001,,,,
23-1745-P0001,,,,
23-1341-P0001,,,,
23-1341-P0001,,,,
23-1433-P0001,,,,
23-1433-P0001,,,,
23-0853-P0001,,,,
23-0853-P0001,,,,
23-1358-P0001,,,,
23-1358-P0001,,,,
23-0305-P0001,,,,
23-0305-P0001,,,,
25-0099-P0001,49980,49980,0,49980
25-0099-P0001,,,,
25-0099-P0001,,,,
25-0099-P0001,,,,
25-0099-P0001,,,,
25-0099-P0001,,,,
25-0099-P0001,,,,
25-0225-P0001,199862.05,170095.36,29766.69,399724.56
25-0225-P0001,,,,
25-0225-P0001,,,,
25-0225-P0001,,,,
25-0225-P0001,,,,
25-0225-P0001,,,,
25-0225-P0001,,,,
25-0225-P0001,,,,
25-0104-P0001,17420,13000,4420,17420
25-0104-P0001,,,,
25-0104-P0001,,,,
25-0104-P0001,,,,
25-0104-P0001,,,,
25-0104-P0001,,,,
25-0206-P0001,0,0,0,0
25-0206-P0001,,,,
25-0206-P0001,,,,
25-0206-P0001,,,,
25-0206-P0001,,,,
25-0206-P0001,,,,
25-0206-P0001,,,,
25-0206-P0001,,,,
25-0206-P0001,,,,
23-0674-P0001,,,,
23-0674-P0001,,,,
25-0573-P0001,,,,
25-0573-P0001,,,,
25-0573-P0001,,,,
23-0472-P0001,,,,
23-0472-P0001,,,,
23-1050-P0001,,,,
23-1050-P0001,,,,
25-0382-P0001,,50000,,
25-0382-P0001,,,,
25-0382-P0001,,,,
25-0382-P0001,,,,
25-0382-P0001,,,,
24-1110-P0001,300000,272727,27273,300000
24-1110-P0001,,,,
24-1110-P0001,,,,
24-1110-P0001,,,,
24-1110-P0001,,,,
24-1110-P0001,,,,
24-1110-P0001,,,,
24-1110-P0001,,,,
23-1853-P0001,5000,5000,0,5000
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1853-P0001,,,,
23-1331-P0001,,,,
23-1331-P0001,,,,
23-0548-P0001,,,,
23-0548-P0001,,,,
23-0952-P0001,,,,
23-0952-P0001,,,,
23-1434-P0001,,,,
23-1434-P0001,,,,
24-0091-P0001,770313,535861,234452,962891
24-0091-P0001,,,,
24-0091-P0001,,,,
24-0091-P0001,,,,
24-0091-P0001,,,,
24-0441-P0001,14606,10900,3706,14606
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0441-P0001,,,,
24-0367-P0001,8910,7582.98,1327.02,11712.34
24-0367-P0001,,,,
24-0367-P0001,,,,
24-0367-P0001,,,,
24-0367-P0001,,,,
24-0367-P0001,,,,
